iso_ts,t_perf,sample_idx,fsr1,fsr2,fsr3,fsr4,event,lane,detail
2025-09-25T13:24:06.768032,1419.568479,-1,0,0,0,0,resp,1,rt_ms=720.42;grade=Late
2025-09-25T13:24:07.561880,1420.362214,-1,0,0,0,0,stim,0,trial=2
2025-09-25T13:24:08.223155,1421.023625,-1,0,0,0,0,resp,0,rt_ms=661.41;grade=Late
2025-09-25T13:24:09.068020,1421.868349,-1,0,0,0,0,stim,2,trial=3
2025-09-25T13:24:10.187976,1422.988399,-1,0,0,0,0,resp,2,rt_ms=1120.05;grade=Miss
2025-09-25T13:24:10.579927,1423.380231,-1,0,0,0,0,stim,1,trial=4
2025-09-25T13:24:11.237515,1424.037904,-1,0,0,0,0,resp,1,rt_ms=657.69;grade=Late
2025-09-25T13:24:12.087585,1424.887916,-1,0,0,0,0,stim,3,trial=5
2025-09-25T13:24:12.417173,1425.217670,-1,0,0,0,0,resp,3,rt_ms=329.75;grade=Good
2025-09-25T13:24:13.603985,1426.404287,-1,0,0,0,0,stim,0,trial=6
2025-09-25T13:24:14.014853,1426.815258,-1,0,0,0,0,resp,0,rt_ms=410.98;grade=Good
2025-09-25T13:24:15.110241,1427.910537,-1,0,0,0,0,stim,1,trial=7
2025-09-25T13:24:15.490247,1428.290640,-1,0,0,0,0,resp_wrong,2,expect=b
2025-09-25T13:24:15.785469,1428.585874,-1,0,0,0,0,resp,1,rt_ms=675.35;grade=Late
2025-09-25T13:24:16.625623,1429.425923,-1,0,0,0,0,stim,2,trial=8
2025-09-25T13:24:17.008083,1429.808479,-1,0,0,0,0,resp,2,rt_ms=382.56;grade=Good
2025-09-25T13:24:18.137059,1430.937375,-1,0,0,0,0,stim,3,trial=9
2025-09-25T13:24:18.512829,1431.313229,-1,0,0,0,0,resp,3,rt_ms=375.87;grade=Good
2025-09-25T13:24:19.651896,1432.452189,-1,0,0,0,0,stim,1,trial=10
2025-09-25T13:24:20.263734,1433.064162,-1,0,0,0,0,resp,1,rt_ms=611.97;grade=Late
2025-09-25T13:24:21.158477,1433.958786,-1,0,0,0,0,stim,1,trial=11
2025-09-25T13:24:21.774433,1434.574848,-1,0,0,0,0,resp,1,rt_ms=616.06;grade=Late
2025-09-25T13:24:22.666491,1435.466830,-1,0,0,0,0,stim,0,trial=12
2025-09-25T13:24:23.118285,1435.918693,-1,0,0,0,0,resp,0,rt_ms=451.88;grade=Good
2025-09-25T13:24:24.169467,1436.969775,-1,0,0,0,0,stim,2,trial=13
2025-09-25T13:24:24.827254,1437.627721,-1,0,0,0,0,resp,2,rt_ms=657.93;grade=Late
2025-09-25T13:24:25.059081,1437.859471,-1,0,0,0,0,resp_wrong,3,expect=
2025-09-25T13:24:25.686160,1438.486439,-1,0,0,0,0,stim,1,trial=14
2025-09-25T13:24:26.079141,1438.879566,-1,0,0,0,0,resp,1,rt_ms=393.13;grade=Good
2025-09-25T13:24:27.194494,1439.994786,-1,0,0,0,0,stim,3,trial=15
2025-09-25T13:24:27.603437,1440.403842,-1,0,0,0,0,resp,3,rt_ms=409.07;grade=Good
2025-09-25T13:24:28.708112,1441.508387,-1,0,0,0,0,stim,0,trial=16
2025-09-25T13:24:29.088216,1441.888628,-1,0,0,0,0,resp,0,rt_ms=380.24;grade=Good
2025-09-25T13:24:30.210527,1443.010880,-1,0,0,0,0,stim,1,trial=17
2025-09-25T13:24:30.590714,1443.391108,-1,0,0,0,0,resp,1,rt_ms=380.23;grade=Good
2025-09-25T13:24:31.726157,1444.526445,-1,0,0,0,0,stim,2,trial=18
2025-09-25T13:24:32.152993,1444.953378,-1,0,0,0,0,resp,2,rt_ms=426.93;grade=Good
2025-09-25T13:24:33.241943,1446.042242,-1,0,0,0,0,stim,3,trial=19
2025-09-25T13:24:33.618968,1446.419385,-1,0,0,0,0,resp,3,rt_ms=377.15;grade=Good
2025-09-25T13:24:34.754308,1447.554599,-1,0,0,0,0,stim,1,trial=20
2025-09-25T13:24:35.268735,1448.069156,-1,0,0,0,0,resp,1,rt_ms=514.56;grade=Late
2025-09-25T13:24:38.705538,1451.505917,-1,0,0,0,0,stim,0,trial=1
2025-09-25T13:24:39.150396,1451.951493,-1,0,0,0,0,resp,0,rt_ms=444.97;grade=Good
2025-09-25T13:24:40.210370,1453.010739,-1,0,0,0,0,stim,2,trial=2
2025-09-25T13:24:40.691891,1453.492937,-1,0,0,0,0,resp_wrong,3,trial=2
2025-09-25T13:24:41.716836,1454.517207,-1,0,0,0,0,stim,3,trial=3
2025-09-25T13:24:42.140916,1454.941950,-1,0,0,0,0,resp,3,rt_ms=424.19;grade=Good
2025-09-25T13:24:43.227552,1456.027972,-1,0,0,0,0,stim,0,trial=4
2025-09-25T13:24:43.687148,1456.488235,-1,0,0,0,0,resp,0,rt_ms=459.7;grade=Good
2025-09-25T13:24:44.738415,1457.538781,-1,0,0,0,0,stim,0,trial=5
2025-09-25T13:24:45.187733,1457.988900,-1,0,0,0,0,resp,0,rt_ms=449.45;grade=Good
2025-09-25T13:24:46.253390,1459.053792,-1,0,0,0,0,stim,0,trial=6
2025-09-25T13:24:46.673267,1459.474317,-1,0,0,0,0,resp,0,rt_ms=419.94;grade=Good
2025-09-25T13:24:47.762364,1460.562726,-1,0,0,0,0,stim,0,trial=7
2025-09-25T13:24:48.174960,1460.976015,-1,0,0,0,0,resp,0,rt_ms=412.71;grade=Good
2025-09-25T13:24:49.278473,1462.078873,-1,0,0,0,0,stim,2,trial=8
2025-09-25T13:24:49.956671,1462.757724,-1,0,0,0,0,resp,2,rt_ms=678.28;grade=Late
2025-09-25T13:24:50.782462,1463.582827,-1,0,0,0,0,stim,0,trial=9
2025-09-25T13:24:51.254294,1464.055359,-1,0,0,0,0,resp,0,rt_ms=471.93;grade=Good
2025-09-25T13:24:52.294273,1465.094655,-1,0,0,0,0,stim,2,trial=10
2025-09-25T13:24:52.839348,1465.640405,-1,0,0,0,0,resp,2,rt_ms=545.17;grade=Late
2025-09-25T13:24:53.796618,1466.596950,-1,0,0,0,0,stim,2,trial=11
2025-09-25T13:24:54.257414,1467.058463,-1,0,0,0,0,resp,2,rt_ms=460.93;grade=Good
2025-09-25T13:24:55.310632,1468.111004,-1,0,0,0,0,stim,3,trial=12
2025-09-25T13:24:55.722497,1468.523538,-1,0,0,0,0,resp,3,rt_ms=411.96;grade=Good
2025-09-25T13:24:56.818579,1469.618972,-1,0,0,0,0,stim,1,trial=13
2025-09-25T13:24:57.384567,1470.185642,-1,0,0,0,0,resp,1,rt_ms=566.07;grade=Late
2025-09-25T13:24:58.329325,1471.129688,-1,0,0,0,0,stim,0,trial=14
2025-09-25T13:24:58.826025,1471.627022,-1,0,0,0,0,resp,0,rt_ms=496.8;grade=Good
2025-09-25T13:24:59.844796,1472.645209,-1,0,0,0,0,stim,2,trial=15
2025-09-25T13:25:00.689441,1473.490538,-1,0,0,0,0,resp,2,rt_ms=844.73;grade=Late
2025-09-25T13:25:01.356623,1474.157025,-1,0,0,0,0,stim,1,trial=16
2025-09-25T13:25:01.884425,1474.685480,-1,0,0,0,0,resp,1,rt_ms=527.87;grade=Late
2025-09-25T13:25:02.866255,1475.666635,-1,0,0,0,0,stim,3,trial=17
2025-09-25T13:25:03.268911,1476.069985,-1,0,0,0,0,resp,3,rt_ms=402.79;grade=Good
2025-09-25T13:25:04.378911,1477.179312,-1,0,0,0,0,stim,0,trial=18
2025-09-25T13:25:04.806260,1477.607309,-1,0,0,0,0,resp,0,rt_ms=427.42;grade=Good
2025-09-25T13:25:05.881075,1478.681457,-1,0,0,0,0,stim,2,trial=19
2025-09-25T13:25:06.406512,1479.207523,-1,0,0,0,0,resp,2,rt_ms=525.52;grade=Late
2025-09-25T13:25:07.389750,1480.190120,-1,0,0,0,0,stim,0,trial=20
2025-09-25T13:25:07.806668,1480.607733,-1,0,0,0,0,resp,0,rt_ms=417.04;grade=Good
