participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses
f,4,main,127,b,FALSE,1010.57,Miss,-2,Miss!,timeout,,b,0
f,4,main,128,n,FALSE,1011.58,Miss,-2,Miss!,timeout,,n,0
f,4,main,129,m,FALSE,1015.05,Miss,-2,Miss!,timeout,,m,0
f,4,main,130,b,FALSE,1014.5,Miss,-2,Miss!,timeout,,b,0
f,4,main,131,b,FALSE,1011.61,Miss,-2,Miss!,timeout,,b,0
f,4,main,132,v,FALSE,1006.74,Miss,-2,Miss!,timeout,,v,0
f,4,main,133,n,FALSE,1013.99,Miss,-2,Miss!,timeout,,n,0
f,4,main,134,b,FALSE,1010.48,Miss,-2,Miss!,timeout,,b,0
f,4,main,135,m,FALSE,1009.31,Miss,-2,Miss!,timeout,,m,0
f,4,main,136,v,FALSE,1015.57,Miss,-2,Miss!,timeout,,v,0
f,4,main,137,b,FALSE,1007.07,Miss,-2,Miss!,timeout,,b,0
f,4,main,138,n,FALSE,1015.11,Miss,-2,Miss!,timeout,,n,0
f,4,main,139,m,FALSE,1012.52,Miss,-2,Miss!,timeout,,m,0
f,4,main,140,b,FALSE,1001.37,Miss,-2,Miss!,timeout,,b,0
f,4,main,141,b,FALSE,1011.92,Miss,-2,Miss!,timeout,,b,0
f,4,main,142,v,FALSE,1001.57,Miss,-2,Miss!,timeout,,v,0
f,4,main,143,n,FALSE,1008.35,Miss,-2,Miss!,timeout,,n,0
f,4,main,144,b,FALSE,1012.43,Miss,-2,Miss!,timeout,,b,0
f,4,main,145,m,FALSE,1001.79,Miss,-2,Miss!,timeout,,m,0
f,4,main,146,v,FALSE,1004.96,Miss,-2,Miss!,timeout,,v,0
f,4,main,147,b,FALSE,1003.82,Miss,-2,Miss!,timeout,,b,0
f,4,main,148,n,FALSE,1003.55,Miss,-2,Miss!,timeout,,n,0
f,4,main,149,m,FALSE,1002.07,Miss,-2,Miss!,timeout,,m,0
f,4,main,150,b,FALSE,1007.16,Miss,-2,Miss!,timeout,,b,0
f,4,main,151,b,FALSE,1009.87,Miss,-2,Miss!,timeout,,b,0
f,4,main,152,v,FALSE,1015.41,Miss,-2,Miss!,timeout,,v,0
f,4,main,153,n,FALSE,1013.16,Miss,-2,Miss!,timeout,,n,0
f,4,main,154,b,FALSE,1009.9,Miss,-2,Miss!,timeout,,b,0
f,4,main,155,m,FALSE,1012.31,Miss,-2,Miss!,timeout,,m,0
f,4,main,156,v,FALSE,1011.14,Miss,-2,Miss!,timeout,,v,0
f,4,main,157,b,FALSE,1014.0,Miss,-2,Miss!,timeout,,b,0
f,4,main,158,n,FALSE,1006.33,Miss,-2,Miss!,timeout,,n,0
f,4,main,159,m,FALSE,1012.4,Miss,-2,Miss!,timeout,,m,0
f,4,main,160,b,FALSE,1010.01,Miss,-2,Miss!,timeout,,b,0
f,4,main,161,b,FALSE,1011.0,Miss,-2,Miss!,timeout,,b,0
f,4,main,162,v,FALSE,1014.71,Miss,-2,Miss!,timeout,,v,0
f,4,main,163,n,FALSE,1000.72,Miss,-2,Miss!,timeout,,n,0
f,4,main,164,b,FALSE,1005.54,Miss,-2,Miss!,timeout,,b,0
f,4,main,165,m,FALSE,1013.76,Miss,-2,Miss!,timeout,,m,0
f,4,main,166,v,FALSE,1003.76,Miss,-2,Miss!,timeout,,v,0
f,4,main,167,b,FALSE,1001.34,Miss,-2,Miss!,timeout,,b,0
f,4,main,168,n,FALSE,1008.0,Miss,-2,Miss!,timeout,,n,0
f,4,main,169,m,FALSE,1008.43,Miss,-2,Miss!,timeout,,m,0
f,4,main,170,b,FALSE,1012.93,Miss,-2,Miss!,timeout,,b,0
f,4,main,171,b,FALSE,1005.67,Miss,-2,Miss!,timeout,,b,0
f,4,main,172,v,FALSE,1005.84,Miss,-2,Miss!,timeout,,v,0
f,4,main,173,n,FALSE,1003.84,Miss,-2,Miss!,timeout,,n,0
f,4,main,174,b,FALSE,1009.82,Miss,-2,Miss!,timeout,,b,0
f,4,main,175,m,FALSE,1016.39,Miss,-2,Miss!,timeout,,m,0
f,4,main,176,v,FALSE,1010.23,Miss,-2,Miss!,timeout,,v,0
f,4,main,177,b,FALSE,1011.74,Miss,-2,Miss!,timeout,,b,0
f,4,main,178,n,FALSE,1009.55,Miss,-2,Miss!,timeout,,n,0
f,4,main,179,m,FALSE,1014.29,Miss,-2,Miss!,timeout,,m,0
f,4,main,180,b,FALSE,1011.92,Miss,-2,Miss!,timeout,,b,0
f,4,main,181,b,FALSE,1008.35,Miss,-2,Miss!,timeout,,b,0
f,4,main,182,v,FALSE,1008.47,Miss,-2,Miss!,timeout,,v,0
f,4,main,183,n,FALSE,1001.51,Miss,-2,Miss!,timeout,,n,0
f,4,main,184,b,FALSE,1002.68,Miss,-2,Miss!,timeout,,b,0
f,4,main,185,m,FALSE,1011.39,Miss,-2,Miss!,timeout,,m,0
